,Username,Tweet
0,marceljcastro,"La semana que viene tenemos un evento en el @uprm relacionado a este tema. Sería estupendo que nos acompañen @LaIslaOeste @WORATV @edigitalpr. 

Actividad de: #ACEER @CoHemisUPRM #CIEL @inesiupr @SeaGrantPR #PES de @IEEEUPRM y @ieee_pes+@IEEESSIT de #wPR

"
1,laida_8,"¡Favor compartir! Estaremos en el Coliseo Municipal de Vieques el viernes, 26 de abril. @uprm @ElNuevoDia @normandoh "
2,georgegboy,"Pero homicida adultero genocida @ricardorossello le recorta fondos a @UPR_Oficial para destruir #PuertoRico
Estudiantes del @uprm ganan primer lugar en competencia de tecnología espacial de @NASA  via @NotiUno"
3,bsotomorales,Qué orgullo!!!!!!!!! &lt;3 #UPRM !!!! 
4,voyalsol,Soy una estudiante de Kinesiología orgullosa de representar al Colegio en un proyecto de Ingeniería 💚 
5,RimaBrusi,Colegiales ganan el primer lugar en NASA Human Exploration Rover Challenge #SangreVerde :) 
6,uprm,Nuevo en  Colegiales ganan el primer lugar en NASA Human Exploration Rover Challenge  @PrensaRUM @UPR_Oficial @RectoraU @ProfAlomar @genevo @EngineeringUPRM 
7,uprm,Nuevo en  Alondra brilla en China con premio de innovación  @PrensaRUM @UPR_Oficial @RectoraU @ProfAlomar @genevo @enactus @eshipnetwork 
8,uprm,"Nuevo en el YouTube Colegial: Por primera vez en Puerto Rico y en el RUM el Viva Technology, de Great Minds in Stem  @PrensaRUM @UPR_Oficial @RectoraU @ProfAlomar @genevo"
9,uprm,Nuevo en  Por primera vez en Puerto Rico el Viva Technology  @PrensaRUM @UPR_Oficial @RectoraU @ProfAlomar @genevo @EngineeringUPRM 
10,uprm,Nuevo en  CREST lleva la nanotecnología al Mayagüez Mall  @PrensaRUM @UPR_Oficial @RectoraU @ProfAlomar @genevo @EngineeringUPRM 
11,uprm,Nuevo en  Colegio celebra el Día mundial de la actividad física  @PrensaRUM @UPR_Oficial @RectoraU @ProfAlomar @genevo 
12,DeportivaHuella,"¡Faltan 2️⃣ días para la serie final del #LAIBásket🏀!

@uprm vs. @UPRBBasketball1 

🏟 Coliseo Rafael A. Mangual

⏰ 7:00 pm

¡El Mangual se pinta de verde!🙌 "
13,VfDylan,Professor Leonard en UPRM pa’ cuando?
14,KP4Radio,"#Temblor : M 1.85, PUERTO RICO REGION                 April 18, 2019 08:48:39 Local Time (GMT - 4).     #RedSismica"
15,KP4Radio,"#Temblor : M 1.70, PUERTO RICO REGION   April 18, 2019 08:05:22 Local Time (GMT - 4).     #RedSismica"
16,NotiOeste,"#Temblor : M 1.85, PUERTO RICO REGION                April 18, 2019 08:48:39 Local Time (GMT - 4).     #RedSismica"
17,NotiOeste,"#Temblor : M 1.70, PUERTO RICO REGION  April 18, 2019 08:05:22 Local Time (GMT - 4).     #RedSismica"
18,Faby_Nico99,"El proyecto LEAPR de la organización SEDS-UPRM pasó a la final.Necesitamos de su apoyo para poder viajar a Florida este verano para presentar nuestro proyecto ante los jueces de NASA.
De donar alguna cantidad de dinero, favor colocar “LEAPR” como nombre en su transacción.
Gracias "
19,NotiOeste,"#Temblor : M 0.98, PUERTO RICO REGION  April 18, 2019 02:08:55 Local Time (GMT - 4).     #RedSismica"
